,precision,recall,f1-score,support
Adialer.C,1.0,1.0,1.0,25.0
Agent.FYI,1.0,1.0,1.0,27.0
Allaple.A,0.9968652037617555,1.0,0.9984301412872841,636.0
Allaple.L,0.9965986394557823,1.0,0.9982964224872232,293.0
Alueron.gen!J,1.0,1.0,1.0,44.0
Autorun.K,1.0,1.0,1.0,18.0
C2LOP.gen!g,0.6666666666666666,1.0,0.8,44.0
C2LOP.P,0.8095238095238095,0.7391304347826086,0.7727272727272727,23.0
Dialplatform.B,1.0,1.0,1.0,37.0
Dontovo.A,1.0,1.0,1.0,35.0
Fakerean,1.0,0.9647058823529412,0.9820359281437125,85.0
Instantaccess,1.0,1.0,1.0,74.0
Lolyda.AA1,1.0,1.0,1.0,39.0
Lolyda.AA2,1.0,1.0,1.0,37.0
Lolyda.AA3,1.0,1.0,1.0,20.0
Lolyda.AT,1.0,1.0,1.0,30.0
Malex.gen!J,1.0,0.9655172413793104,0.9824561403508771,29.0
Obfuscator.AD,1.0,1.0,1.0,28.0
Rbot!gen,1.0,1.0,1.0,37.0
Skintrim.N,1.0,1.0,1.0,7.0
Swizzor.gen!E,0.7391304347826086,0.53125,0.6181818181818182,32.0
Swizzor.gen!I,0.5,0.21052631578947367,0.2962962962962963,19.0
VB.AT,1.0,1.0,1.0,81.0
Wintrim.BX,0.9629629629629629,1.0,0.9811320754716981,26.0
Yuner.A,1.0,1.0,1.0,142.0
accuracy,0.9785867237687366,0.9785867237687366,0.9785867237687366,0.9785867237687366
macro avg,0.9468699086861434,0.9364451949721733,0.9371822437978473,1868.0
weighted avg,0.9781323676956543,0.9785867237687366,0.9766382830065844,1868.0
